trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
182,3,24,68,20,-10,78,40,1.42627098623,261,55.6,2.05004091521
183,3,25,68,20,10,58,10,1.02376551919,301,45.5,1.36695161924
184,3,26,68,20,-20,88,40,1.52242168929,35,108.8,1.96678095558
185,3,27,68,20,-20,88,10,1.51455939588,193,92.4,2.86684431303
186,3,28,68,20,0,68,40,1.111059044,6,39,0.850301045986
187,3,29,68,20,20,48,10,0.854897806015,240,46.7,2.18337982263
188,3,30,68,20,20,48,40,0.738221222355,290,73.4,1.16686764572
189,3,31,68,20,-20,88,10,1.55616385015,195,102.1,2.80023236095
190,3,32,68,20,20,48,40,0.861937606635,211,84.8,2.11694867624
191,3,33,68,20,-10,78,10,1.34240526524,295,97.0,1.21696651533
192,3,34,68,20,-20,88,10,1.56790376633,17,106.0,2.58363500313
193,3,35,68,20,0,68,40,1.21785560061,183,63.4,2.66676396166
194,3,36,68,20,0,68,40,1.19387120869,57,53.0,1.83337352914
195,3,37,68,20,-10,78,10,1.37641847278,311,70.6,1.20027081612
196,3,38,68,20,-10,78,40,1.29626859217,286,56.6,1.9169646137
197,3,39,68,20,-20,88,40,1.64097362477,230,84.0,1.80005125343
198,3,40,68,20,-10,78,40,1.4328523943,241,110.7,1.3334225791
199,3,41,68,20,-40,108,40,1.81475086606,312,76.1,1.51691016071
200,3,42,68,20,0,68,40,1.2283087983,226,107.5,1.66675792474
201,3,43,68,20,0,68,10,1.18206459458,345,69.1,1.30032306564
202,3,44,68,20,10,58,10,0.97947349452,59,48.4,1.80032291472
203,3,45,68,20,30,38,10,0.669504751182,281,21.3,1.88369153887
204,3,46,68,20,-30,98,10,1.7213059154,130,121.7,3.41678305341
205,3,47,68,20,0,68,40,1.22126679246,85,70.5,2.38381122076
206,3,48,68,20,10,58,10,1.0029428515,259,60.2,2.58364949174
207,3,49,68,20,30,38,40,0.583567047212,261,47.8,2.8336364369
208,4,0,68,20,20,48,40,0.795682252765,270,54.4,1.51700312924
209,4,1,68,20,40,28,10,0.487910795455,265,24.3,2.00011953097
210,4,2,68,20,-10,78,10,1.34385246958,186,69.5,2.50029203589
211,4,3,68,20,10,58,40,1.18833910771,5,33.5,1.08366986633
212,4,4,68,20,-20,88,40,1.49737078551,168,57.7,4.21696379872
213,4,5,68,20,20,48,10,0.861511905768,319,50.9,1.65012621685
214,4,6,68,20,10,58,10,0.990656697768,220,51.1,2.43366076568
215,4,7,68,20,0,68,40,1.20737662247,324,122.6,1.28368683007
216,4,8,68,20,0,68,40,1.33159443536,13,108.7,1.60007926472
217,4,9,68,20,0,68,40,1.19474508655,132,66.4,2.75049993224
218,4,10,68,20,-10,78,10,1.38128687704,2,84.6,1.06696692282
219,4,11,68,20,-10,78,40,1.23966596696,102,54.8,2.05032283926
220,4,12,68,20,-30,98,10,1.71801218376,196,125.8,2.41700491013
221,4,13,68,20,20,48,40,0.837253236611,175,50.6,3.71699443608
222,4,14,68,20,-10,78,40,1.27547245483,340,117.0,1.53364208142
223,4,15,68,20,0,68,10,1.18945323271,57,60.8,1.90038029562
224,4,16,68,20,-20,88,40,1.52036681997,346,59,1.01702531491
225,4,17,68,20,-10,78,40,1.30342543224,186,105.9,3.35011948569
226,4,18,68,20,20,48,10,0.814952896413,211,39.3,2.80020972252
227,4,19,68,20,10,58,10,0.994506046224,128,49.6,2.88381227722
228,4,20,68,20,20,48,10,0.824713349155,137,51.0,2.60192565596
229,4,21,68,20,-10,78,10,1.34442534924,85,95.2,2.45023331177
230,4,22,68,20,50,18,10,0.32788079368,51,5.7,1.00004467319
231,4,23,68,20,-10,78,10,1.35745341859,192,83.0,2.29999526102
232,4,24,68,20,10,58,10,1.0235798483,92,75.2,2.50000286753
233,4,25,68,20,10,58,10,1.03675133689,300,69.9,1.63359532549
234,4,26,68,20,-20,88,10,1.54018265108,227,111.7,1.64997136992
235,4,27,68,20,10,58,10,0.999130939779,110,61.1,3.0668365254
236,4,28,68,20,-20,88,10,1.55599671837,336,115.8,1.20022553924
237,4,29,68,20,10,58,10,1.02871518461,21,60.4,3.78331782349
238,4,30,68,20,-20,88,40,1.5542304576,128,53.5,2.63346734284
239,4,31,68,20,0,68,10,1.20859971648,194,82.3,4.70010344258
240,4,32,68,20,-40,108,40,1.84981589244,211,129.0,2.06667111386
241,4,33,68,20,20,48,10,0.848167984849,124,52.3,3.95029232264
242,4,34,68,20,0,68,10,1.18377965535,73,55.2,2.05027635499
243,4,35,68,20,20,48,40,0.770434245923,296,34.9,1.65009784334
244,4,36,68,20,30,38,40,0.760132507168,197,59.9,4.21675280845
245,4,37,68,20,30,38,40,0.727156923221,91,52.8,1.916554707
246,4,38,68,20,0,68,40,0.983849588239,14,71.3,1.80032231103
247,4,39,68,20,0,68,10,1.20713698224,147,115.1,3.48364553756
248,4,40,68,20,-10,78,40,1.44150338661,294,120.1,0.916787732018
249,4,41,68,20,-10,78,10,1.37950389811,150,84.7,3.55031634957
250,4,42,68,20,-20,88,10,1.5099758323,350,105.7,1.13363501823
251,4,43,68,20,-30,98,10,1.70727047057,288,117,0.600283614385
252,4,44,68,20,-20,88,40,1.45279698962,202,73.0,2.35030512091
253,4,45,68,20,-10,78,40,1.24414156157,129,109.7,3.20028892688
254,4,46,68,20,30,38,40,0.6677649121,42,49.8,1.20025512014
255,4,47,68,20,30,38,40,0.582060428284,277,44.8,2.45013792847
256,4,48,68,20,0,68,40,1.16848101942,338,67,1.08363666329
257,4,49,68,20,-10,78,40,1.39063327901,174,55.6,3.11700059373
258,5,0,68,20,0,68,40,1.14018909709,214,66.2,2.18359322766
259,5,1,68,20,-20,88,10,1.53285710399,131,99.9,4.38382721859
260,5,2,68,20,0,68,40,1.15173618352,336,69,0.650356827104
261,5,3,68,20,-30,98,10,1.71497401111,229,113.6,1.43358349313
262,5,4,68,20,-10,78,40,1.46151899659,288,80.6,1.46698726724
263,5,5,68,20,10,58,40,1.01377851355,6,39,0.583635908675
264,5,6,68,20,-10,78,10,1.36538029927,325,59.2,0.883789638778
265,5,7,68,20,10,58,10,1.01019119739,28,46.9,1.10008545257
266,5,8,68,20,-30,98,10,1.72009065038,233,112.2,1.41703388733
267,5,9,68,20,40,28,40,0.494376211715,235,50.4,2.15014357299
268,5,10,68,20,-20,88,10,1.52168060728,102,114.6,3.33351705686
269,5,11,68,20,0,68,40,1.2147908068,313,112.8,0.816809434738
270,5,12,68,20,-10,78,10,1.39477282821,283,72.6,1.4688167551
271,5,13,68,20,0,68,10,1.2046856143,14,89.5,1.91684900673
272,5,14,68,20,0,68,40,1.2101549484,284,75.5,1.299930666
273,5,15,68,20,40,28,10,0.481455939806,141,28.7,3.45026289267
274,5,16,68,20,10,58,40,1.0287347947,245,114.5,1.35002198947
275,5,17,68,20,-20,88,10,1.55406418014,211,86.1,3.9664172313
276,5,18,68,20,30,38,10,0.668921322732,356,49,0.683683026815
277,5,19,68,20,10,58,40,1.01583187942,197,126.1,1.68351942635
278,5,20,68,20,0,68,10,1.20478243833,127,83.1,2.71654981709
279,5,21,68,20,0,68,40,1.06738763015,56,60.5,1.7502904512
280,5,22,68,20,-20,88,40,1.44183902431,182,116.4,1.91674577544
281,5,23,68,20,0,68,40,1.20718977625,234,65.7,1.89996133354
282,5,24,68,20,-10,78,40,1.30510243728,24,78.2,2.41708791774
283,5,25,68,20,10,58,40,1.05219953117,315,113.4,0.850338474873
284,5,26,68,20,-30,98,40,1.63612974381,115,123.7,3.13366791943
285,5,27,68,20,-30,98,40,1.68843283247,157,45.2,3.56696586636
286,5,28,68,20,-30,98,10,1.70663939418,7,103.0,1.55030186097
287,5,29,68,20,30,38,40,0.676045001601,241,113.3,1.91677263972
288,5,30,68,20,10,58,40,0.966730256952,79,84.3,2.45032446923
289,5,31,68,20,20,48,10,0.8320104289,169,61.8,3.48365489478
290,5,32,68,20,20,48,10,0.849797099348,61,45.1,1.45032507292
291,5,33,68,20,-40,108,40,1.88276213162,27,53.1,1.133629585
292,5,34,68,20,0,68,10,1.1732650074,358,65.2,1.16691473367
293,5,35,68,20,10,58,40,0.964509902756,256,50.2,2.10031666651
294,5,36,68,20,-10,78,10,1.36971186888,269,77.5,1.45031963969
295,5,37,68,20,-40,108,10,1.85732423843,257,116.8,1.3003076715
296,5,38,68,20,0,68,10,1.19121670101,86,73.4,3.01693174269
297,5,39,68,20,-50,118,40,2.22651358605,185,116.0,2.48361806958
298,5,40,68,20,10,58,10,0.992696566858,114,67.5,4.35029033046
299,5,41,68,20,20,48,40,0.782863036613,314,23.4,3.28366781378
300,5,42,68,20,0,68,40,1.13541597815,199,81.2,3.10028165239
301,5,43,68,20,-20,88,10,1.51908004615,12,99.3,1.59987944275
302,5,44,68,20,20,48,40,0.835434068794,249,53.3,1.93330866246
303,5,45,68,20,-10,78,40,1.27887824352,166,66.1,4.26678044244
304,5,46,68,20,10,58,40,0.917021002689,221,46.2,2.61729715731
305,5,47,68,20,10,58,10,1.01642050042,162,46.7,3.10028738746
306,5,48,68,20,30,38,10,0.647690042917,315,30.2,1.3336054977
307,5,49,68,20,20,48,10,0.799187693313,106,56.0,2.33362813614
308,6,0,22,20,0,22,40,0.409838401743,256,43.7,1.80034102548
309,6,1,22,20,0,22,40,0.31160135619,220,118.7,1.48365217817
310,6,2,22,20,-40,62,40,1.05847639219,14,54.4,1.1503331322
311,6,3,22,20,-30,52,40,0.807906642788,28,66.4,1.15037327771
312,6,4,22,20,10,12,40,0.152689783028,150,13.3,2.96668647782
313,6,5,22,20,10,12,40,0.330854522152,342,47.4,0.850366848386
314,6,6,22,20,10,12,40,0.190498822034,64,44.7,3.5521488559
315,6,7,22,20,40,-18,10,-0.327807648072,305,353.4,2.3835338244
316,6,8,22,20,20,2,40,0.117392444389,119,339.3,3.85029621645
317,6,9,22,20,-10,32,10,0.577287655496,208,44.9,2.55023847334
318,6,10,22,20,-10,32,40,0.590838816302,203,73.3,2.83340069527
319,6,11,22,20,0,22,10,0.364005857721,169,26.8,2.96672300117
320,6,12,22,20,-10,32,40,0.5685247159,86,77.2,3.91676237696
321,6,13,22,20,0,22,40,0.349989909236,160,65.7,3.43342834436
322,6,14,22,20,-30,52,40,0.874799767456,159,101.7,3.85011178862
323,6,15,22,20,0,22,10,0.390634798704,297,30.0,1.65027019734
324,6,16,22,20,50,-28,10,-0.488907390227,337,330.5,2.65014885529
325,6,17,22,20,-20,42,10,0.719319732504,215,61.3,2.41714225
326,6,18,22,20,30,-8,10,-0.123876926018,193,351.1,4.26698630133
327,6,19,22,20,-10,32,10,0.542846692987,342,52.6,1.01700207277
328,6,20,22,20,20,2,40,0.164743204311,247,72.2,2.03343909007
329,6,21,22,20,10,12,10,0.219200355574,330,16.5,1.35030964859
330,6,22,22,20,10,12,40,0.218241983714,242,337.1,3.13365916589
331,6,23,22,20,0,22,10,0.387026650683,253,42.8,2.01673071333
332,6,24,22,20,20,2,10,0.0434399810923,345,8.0,1.10007790642
333,6,25,22,20,-10,32,40,0.521614904286,184,41.6,2.60011639177
334,6,26,22,20,-30,52,40,0.964288649442,200,117.9,2.38363856492
335,6,27,22,20,20,2,40,-0.0409196097946,128,28.8,2.81698209058
336,6,28,22,20,20,2,10,0.0541530261611,15,358.8,1.23364863148
337,6,29,22,20,10,12,10,0.212189048086,291,0.899999999999,2.9503354866
338,6,30,22,20,-20,42,10,0.736417162988,153,58.3,3.0669865428
339,6,31,22,20,30,-8,40,-0.182817320926,167,345.9,2.01716205109
340,6,32,22,20,-20,42,10,0.764307591042,21,52.6,1.11696739068
341,6,33,22,20,-10,32,40,0.579751237983,304,43.8,1.45027315543
342,6,34,22,20,-50,72,10,1.27352681961,68,82.3,1.83359055633
343,6,35,22,20,0,22,10,0.387930466122,46,44.5,1.06696360252
344,6,36,22,20,0,22,40,0.456321961068,303,60.4,1.45045275372
345,6,37,22,20,0,22,10,0.402912352666,306,358.9,2.36734794287
346,6,38,22,20,20,2,10,-0.000418923563151,275,354.8,4.83348521212
347,6,39,22,20,-30,52,40,0.964740100913,127,53.2,2.63367652204
348,6,40,22,20,0,22,40,0.507681580121,121,111.2,2.81705574097
349,6,41,22,20,20,2,10,0.0444800276064,89,11.9,1.30030495489
350,6,42,22,20,-20,42,10,0.714080919658,161,59.5,2.7501253415
351,6,43,22,20,10,12,10,0.218230999077,97,20.8,1.38343451711
352,6,44,22,20,-20,42,10,0.725809708507,62,46.7,1.28367324701
353,6,45,22,20,-20,42,10,0.736655523398,42,52.4,1.18345830256
354,6,46,22,20,20,2,10,0.0607719415415,141,1.5,1.96694395235
355,6,47,22,20,0,22,40,0.330910021393,50,66.5,1.616960901
356,6,48,22,20,-10,32,40,0.568176473126,239,54.2,2.45031782862
357,6,49,22,20,10,12,10,0.175879656652,318,358.6,3.00031874925
358,7,0,22,20,-30,52,40,0.869706972531,75,61.0,1.60010311055
359,7,1,22,20,0,22,10,0.403035055848,298,25.1,1.8001668604
360,7,2,22,20,10,12,40,0.210383715023,166,28.5,2.56692632455
361,7,3,22,20,-20,42,10,0.752490692242,233,42.0,2.30004868774
362,7,4,22,20,40,-18,10,-0.316788812349,139,328.4,2.18550693053
363,7,5,22,20,-20,42,40,0.79053624953,263,62.7,1.7335718117
364,7,6,22,20,10,12,40,0.192866108815,358,326.4,2.43358832267
365,7,7,22,20,-20,42,40,0.738573320031,61,19.1,1.80027129907
366,7,8,22,20,20,2,10,-0.00492667887769,206,330.2,3.45027134435
367,7,9,22,20,0,22,10,0.350548726116,320,36.9,1.13358732658
368,7,10,22,20,-10,32,40,0.555456943078,229,66.8,2.01680496742
369,7,11,22,20,10,12,40,0.156009535826,255,1.8,3.63340244598
370,7,12,22,20,10,12,10,0.217112666989,23,46.7,1.50023528886
371,7,13,22,20,-10,32,10,0.560121492199,300,50.4,1.21676729705
372,7,14,22,20,30,-8,10,-0.159193183804,165,357.0,2.78357016664
373,7,15,22,20,30,-8,40,-0.258692281655,137,4.2,2.03347440603
374,7,16,22,20,-10,32,10,0.564415669035,195,46.2,2.75033270962
375,7,17,22,20,-10,32,10,0.548859540014,351,54,0.683711702171
376,7,18,22,20,-30,52,10,0.882812992692,84,63.7,1.85032368443
377,7,19,22,20,10,12,40,0.181626547216,233,12.2,4.20074018646
